import time: self [us] | cumulative | imported package
import time:       190 |        540 |                         pydantic.plugin._schema_validator
import time:       238 |        777 |                       pydantic._internal._mock_val_ser
import time:      3847 |       3847 |                           annotated_types
import time:       219 |        219 |                               zoneinfo._tzpath
import time:       152 |        152 |                               zoneinfo._common
import time:       219 |        219 |                               _zoneinfo
import time:       194 |        782 |                             zoneinfo
import time:       227 |       1009 |                           pydantic._internal._validators
import time:       297 |        297 |                                 pydantic._internal._forward_ref
import time:       483 |        779 |                               pydantic._internal._generics
import time:       177 |        177 |                               pydantic._internal._docs_extraction
import time:       283 |       1238 |                             pydantic._internal._fields
import time:        94 |         94 |                             pydantic.annotated_handlers
import time:       244 |        244 |                               pydantic._internal._core_metadata
import time:       176 |        176 |                               pydantic._internal._schema_generation_shared
import time:      1744 |       2163 |                             pydantic.json_schema
import time:      3934 |       7427 |                           pydantic.types
import time:      1451 |      13732 |                         pydantic.fields
import time:      1786 |       1786 |                           pydantic.functional_validators
import time:       165 |        165 |                           pydantic._internal._discriminated_union
import time:       170 |        170 |                           pydantic._internal._known_annotated_metadata
import time:       533 |        533 |                           pydantic._internal._schema_gather
import time:       949 |       3601 |                         pydantic._internal._generate_schema
import time:       118 |        118 |                         pydantic._internal._signature
import time:       226 |      17676 |                       pydantic._internal._dataclasses
import time:       325 |      41908 |                     pydantic.dataclasses
import time:       850 |        850 |                     jax_finufft.jax_finufft_cpu
import time:       288 |        288 |                     pydantic._internal._model_construction
import time:       102 |        102 |                     pydantic.plugin._loader
import time:      8468 |      51614 |                   jax_finufft.options
import time:        28 |         28 |                   jax_finufft.jax_finufft_gpu
import time:       327 |      51968 |                 jax_finufft.lowering
import time:       384 |        384 |                 jax_finufft.shapes
import time:       635 |      52987 |               jax_finufft.ops
import time:       160 |      53221 |             jax_finufft
import time:      7210 |      60431 |           desc.integrals._interp_utils
import time:     15057 |      15057 |           desc.integrals.quad_utils
import time:       422 |     394209 |         desc.integrals._bounce_utils
import time:       174 |        174 |           desc.batching
import time:       657 |        657 |                     scipy.linalg._fblas
import time:        33 |         33 |                     scipy.linalg._cblas
import time:       186 |        875 |                   scipy.linalg.blas
import time:       933 |        933 |                     scipy.linalg._flapack
import time:        26 |         26 |                     scipy.linalg._clapack
import time:       531 |       1489 |                   scipy.linalg.lapack
import time:       162 |       2524 |                 scipy.linalg._misc
import time:       984 |        984 |                   scipy.linalg.cython_lapack
import time:       599 |        599 |                   scipy._lib._util
import time:       972 |       2554 |                 scipy.linalg._cythonized_array_utils
import time:      2113 |       2113 |                   scipy.linalg._decomp
import time:       832 |        832 |                   scipy.linalg._decomp_svd
import time:       260 |        260 |                   scipy.linalg._solve_toeplitz
import time:       160 |        160 |                   scipy.linalg._batched_linalg
import time:      1754 |       5117 |                 scipy.linalg._basic
import time:       207 |        207 |                   scipy.linalg._decomp_lu_cython
import time:       369 |        575 |                 scipy.linalg._decomp_lu
import time:       353 |        353 |                 scipy.linalg._decomp_ldl
import time:       527 |        527 |                 scipy.linalg._decomp_cholesky
import time:       708 |        708 |                 scipy.linalg._decomp_qr
import time:       594 |        594 |                 scipy.linalg._decomp_qz
import time:       542 |        542 |                 scipy.linalg._decomp_schur
import time:       218 |        218 |                 scipy.linalg._decomp_polar
import time:       406 |        406 |                   scipy.linalg._expm_frechet
import time:       340 |        340 |                   scipy.linalg._matfuncs_schur_sqrtm
import time:       303 |        303 |                   scipy.linalg._matfuncs_expm
import time:       120 |        120 |                   scipy.linalg._linalg_pythran
import time:      1199 |       2366 |                 scipy.linalg._matfuncs
import time:       855 |        855 |                 scipy.linalg._special_matrices
import time:       580 |        580 |                 scipy.linalg._solvers
import time:       401 |        401 |                 scipy.linalg._procrustes
import time:       276 |        276 |                   scipy.linalg.cython_blas
import time:      1185 |       1461 |                 scipy.linalg._decomp_update
import time:       454 |        454 |                 scipy.linalg._sketches
import time:      1913 |       1913 |                 scipy.linalg._decomp_cossin
import time:        69 |         69 |                 scipy.linalg.decomp
import time:        50 |         50 |                 scipy.linalg.decomp_cholesky
import time:        47 |         47 |                 scipy.linalg.decomp_lu
import time:        85 |         85 |                 scipy.linalg.decomp_qr
import time:        59 |         59 |                 scipy.linalg.decomp_svd
import time:       103 |        103 |                 scipy.linalg.decomp_schur
import time:        86 |         86 |                 scipy.linalg.basic
import time:        85 |         85 |                 scipy.linalg.misc
import time:        49 |         49 |                 scipy.linalg.special_matrices
import time:        49 |         49 |                 scipy.linalg.matfuncs
import time:       932 |      23341 |               scipy.linalg
import time:       233 |        233 |                     scipy.sparse._sputils
import time:       109 |        109 |                     scipy.sparse._matrix
import time:       493 |        833 |                   scipy.sparse._base
import time:       155 |        155 |                     scipy.sparse._sparsetools
import time:       174 |        174 |                       scipy.sparse._data
import time:       138 |        138 |                       scipy.sparse._index
import time:       365 |        676 |                     scipy.sparse._compressed
import time:       225 |       1055 |                   scipy.sparse._csr
import time:       148 |        148 |                   scipy.sparse._csc
import time:       406 |        406 |                     scipy.sparse._csparsetools
import time:       373 |        779 |                   scipy.sparse._lil
import time:       297 |        297 |                   scipy.sparse._dok
import time:       418 |        418 |                   scipy.sparse._coo
import time:       207 |        207 |                   scipy.sparse._dia
import time:       208 |        208 |                   scipy.sparse._bsr
import time:       929 |        929 |                   scipy.sparse._construct
import time:        80 |         80 |                   scipy.sparse._extract
import time:        66 |         66 |                   scipy.sparse._matrix_io
import time:        48 |         48 |                   scipy.sparse.base
import time:        46 |         46 |                   scipy.sparse.bsr
import time:        45 |         45 |                   scipy.sparse.compressed
import time:        50 |         50 |                   scipy.sparse.construct
import time:        43 |         43 |                   scipy.sparse.coo
import time:        45 |         45 |                   scipy.sparse.csc
import time:        44 |         44 |                   scipy.sparse.csr
import time:        44 |         44 |                   scipy.sparse.data
import time:        44 |         44 |                   scipy.sparse.dia
import time:        41 |         41 |                   scipy.sparse.dok
import time:        68 |         68 |                   scipy.sparse.extract
import time:        43 |         43 |                   scipy.sparse.lil
import time:        43 |         43 |                   scipy.sparse.sparsetools
import time:        42 |         42 |                   scipy.sparse.sputils
import time:       712 |       6366 |                 scipy.sparse
import time:       315 |        315 |                     scipy.sparse.linalg._interface
import time:        79 |         79 |                     scipy.sparse.linalg._isolve.utils
import time:       309 |        702 |                   scipy.sparse.linalg._isolve.iterative
import time:       129 |        129 |                   scipy.sparse.linalg._isolve.minres
import time:        75 |         75 |                     scipy.sparse.linalg._isolve._gcrotmk
import time:        90 |        165 |                   scipy.sparse.linalg._isolve.lgmres
import time:        82 |         82 |                   scipy.sparse.linalg._isolve.lsqr
import time:        95 |         95 |                   scipy.sparse.linalg._isolve.lsmr
import time:        55 |         55 |                   scipy.sparse.linalg._isolve.tfqmr
import time:       215 |       1441 |                 scipy.sparse.linalg._isolve
import time:       342 |        342 |                     scipy.sparse.linalg._dsolve._superlu
import time:       193 |        193 |                       scikits
import time:        34 |        227 |                     scikits.umfpack
import time:       237 |        806 |                   scipy.sparse.linalg._dsolve.linsolve
import time:       103 |        103 |                   scipy.sparse.linalg._dsolve._add_newdocs
import time:       117 |       1025 |                 scipy.sparse.linalg._dsolve
import time:       252 |        252 |                       scipy.sparse.linalg._eigen.arpack._arpacklib
import time:       464 |        716 |                     scipy.sparse.linalg._eigen.arpack.arpack
import time:        84 |        799 |                   scipy.sparse.linalg._eigen.arpack
import time:       266 |        266 |                     scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:       120 |        386 |                   scipy.sparse.linalg._eigen.lobpcg
import time:       285 |        285 |                       scipy.sparse.linalg._propack
import time:       164 |        448 |                     scipy.sparse.linalg._svdp
import time:       785 |       1233 |                   scipy.sparse.linalg._eigen._svds
import time:       117 |       2534 |                 scipy.sparse.linalg._eigen
import time:       134 |        134 |                     scipy.sparse.linalg._onenormest
import time:       249 |        383 |                   scipy.sparse.linalg._expm_multiply
import time:       196 |        579 |                 scipy.sparse.linalg._matfuncs
import time:        75 |         75 |                 scipy.sparse.linalg._norm
import time:        81 |         81 |                 scipy.sparse.linalg._funm_multiply_krylov
import time:       218 |        218 |                 scipy.sparse.linalg._special_sparse_arrays
import time:        52 |         52 |                 scipy.sparse.linalg.isolve
import time:        61 |         61 |                 scipy.sparse.linalg.dsolve
import time:        37 |         37 |                 scipy.sparse.linalg.interface
import time:        39 |         39 |                 scipy.sparse.linalg.eigen
import time:        36 |         36 |                 scipy.sparse.linalg.matfuncs
import time:       250 |      12785 |               scipy.sparse.linalg
import time:        94 |         94 |                 scipy.optimize._dcsrch
import time:       187 |        281 |               scipy.optimize._linesearch
import time:       138 |        138 |                 scipy.optimize._group_columns
import time:       252 |        389 |               scipy.optimize._numdiff
import time:       201 |        201 |                 scipy.optimize._hessian_update_strategy
import time:       299 |        499 |               scipy.optimize._differentiable_functions
import time:      4033 |      41326 |             scipy.optimize._optimize
import time:       101 |        101 |                 scipy.optimize._trustregion
import time:       259 |        359 |               scipy.optimize._trustregion_dogleg
import time:        73 |         73 |               scipy.optimize._trustregion_ncg
import time:       149 |        149 |                     scipy._lib.messagestream
import time:       274 |        422 |                   scipy.optimize._trlib._trlib
import time:        82 |        504 |                 scipy.optimize._trlib
import time:        66 |        570 |               scipy.optimize._trustregion_krylov
import time:       148 |        148 |               scipy.optimize._trustregion_exact
import time:       149 |        149 |                   scipy.optimize._constraints
import time:        35 |         35 |                         sksparse
import time:        32 |         66 |                       sksparse.cholmod
import time:        99 |        165 |                     scipy.optimize._trustregion_constr.projections
import time:        93 |         93 |                     scipy.optimize._trustregion_constr.qp_subproblem
import time:       115 |        372 |                   scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:       148 |        148 |                   scipy.optimize._trustregion_constr.canonical_constraint
import time:       123 |        123 |                   scipy.optimize._trustregion_constr.tr_interior_point
import time:        86 |         86 |                   scipy.optimize._trustregion_constr.report
import time:       263 |       1140 |                 scipy.optimize._trustregion_constr.minimize_trustregion_constr
import time:        79 |       1218 |               scipy.optimize._trustregion_constr
import time:       303 |        303 |                 scipy.optimize._lbfgsb
import time:       187 |        489 |               scipy.optimize._lbfgsb_py
import time:       141 |        141 |                 scipy.optimize._moduleTNC
import time:       136 |        277 |               scipy.optimize._tnc
import time:       117 |        117 |               scipy.optimize._cobyla_py
import time:        60 |         60 |               scipy.optimize._cobyqa_py
import time:       266 |        266 |                 scipy.optimize._slsqplib
import time:       150 |        416 |               scipy.optimize._slsqp_py
import time:       325 |       4049 |             scipy.optimize._minimize
import time:       119 |        119 |                 scipy.optimize._minpack
import time:       164 |        164 |                       scipy.optimize._lsq.common
import time:       127 |        290 |                     scipy.optimize._lsq.trf
import time:        85 |         85 |                     scipy.optimize._lsq.dogbox
import time:       212 |        586 |                   scipy.optimize._lsq.least_squares
import time:       165 |        165 |                       scipy.optimize._lsq.givens_elimination
import time:        98 |        262 |                     scipy.optimize._lsq.trf_linear
import time:        83 |         83 |                     scipy.optimize._lsq.bvls
import time:       110 |        454 |                   scipy.optimize._lsq.lsq_linear
import time:        94 |       1133 |                 scipy.optimize._lsq
import time:       235 |       1485 |               scipy.optimize._minpack_py
import time:       124 |        124 |               scipy.optimize._spectral
import time:      1284 |       1284 |               scipy.optimize._nonlin
import time:       200 |       3091 |             scipy.optimize._root
import time:       111 |        111 |                 scipy.optimize._zeros
import time:       296 |        407 |               scipy.optimize._zeros_py
import time:       125 |        532 |             scipy.optimize._root_scalar
import time:       261 |        261 |             scipy.optimize._nnls
import time:       816 |        816 |             scipy.optimize._basinhopping
import time:        88 |         88 |                   scipy.optimize._highspy
import time:      3146 |       3146 |                   scipy.optimize._highspy._core
import time:       239 |        239 |                   scipy.optimize._highspy._highs_options
import time:       270 |       3740 |                 scipy.optimize._highspy._highs_wrapper
import time:       279 |       4019 |               scipy.optimize._linprog_highs
import time:        39 |         39 |                               uarray
import time:       139 |        139 |                                   scipy._lib._uarray._uarray
import time:       320 |        458 |                                 scipy._lib._uarray._backend
import time:        99 |        557 |                               scipy._lib._uarray
import time:        96 |        691 |                             scipy._lib.uarray
import time:      4553 |       5244 |                           scipy.fft._basic
import time:      1956 |       1956 |                           scipy.fft._realtransforms
import time:       286 |        286 |                             scipy.fft._fftlog_backend
import time:       629 |        915 |                           scipy.fft._fftlog
import time:       288 |        288 |                                 scipy.fft._pocketfft.pypocketfft
import time:       353 |        353 |                                 scipy.fft._pocketfft.helper
import time:       194 |        834 |                               scipy.fft._pocketfft.basic
import time:       109 |        109 |                               scipy.fft._pocketfft.realtransforms
import time:        91 |       1033 |                             scipy.fft._pocketfft
import time:      1061 |       2094 |                           scipy.fft._helper
import time:       159 |        159 |                             scipy.fft._basic_backend
import time:        80 |         80 |                             scipy.fft._realtransforms_backend
import time:       572 |        810 |                           scipy.fft._backend
import time:       233 |      11249 |                         scipy.fft
import time:       333 |      11582 |                       scipy.linalg._decomp_interpolative
import time:        77 |      11659 |                     scipy.linalg.interpolative
import time:        96 |      11754 |                   scipy.optimize._remove_redundancy
import time:       349 |      12103 |                 scipy.optimize._linprog_util
import time:        65 |         65 |                 sksparse
import time:        34 |         34 |                   scikits
import time:        28 |         62 |                 scikits.umfpack
import time:       282 |      12510 |               scipy.optimize._linprog_ip
import time:       105 |        105 |               scipy.optimize._linprog_simplex
import time:       225 |        225 |                 scipy.optimize._bglu_dense
import time:       172 |        396 |               scipy.optimize._linprog_rs
import time:       153 |        153 |               scipy.optimize._linprog_doc
import time:       176 |      17357 |             scipy.optimize._linprog
import time:       118 |        118 |             scipy.optimize._lsap
import time:      1478 |       1478 |             scipy.optimize._differentialevolution
import time:       173 |        173 |               scipy.optimize._pava_pybind
import time:       121 |        293 |             scipy.optimize._isotonic
import time:       379 |        379 |                 scipy.spatial._ckdtree
import time:       211 |        590 |               scipy.spatial._kdtree
import time:       601 |        601 |               scipy.spatial._qhull
import time:       171 |        171 |                 scipy.spatial._voronoi
import time:       174 |        344 |               scipy.spatial._spherical_voronoi
import time:        95 |         95 |               scipy.spatial._plotutils
import time:        57 |         57 |               scipy.spatial._procrustes
import time:       161 |        161 |                   scipy.spatial._hausdorff
import time:       244 |        244 |                   scipy.spatial._distance_pybind
import time:       149 |        149 |                   scipy.spatial._distance_wrap
import time:      1797 |       2349 |                 scipy.spatial.distance
import time:       107 |       2456 |               scipy.spatial._geometric_slerp
import time:        71 |         71 |               scipy.spatial.ckdtree
import time:        54 |         54 |               scipy.spatial.kdtree
import time:        50 |         50 |               scipy.spatial.qhull
import time:       354 |        354 |                   scipy.spatial.transform._rotation_cy
import time:       256 |        256 |                   scipy.spatial.transform._rotation_xp
import time:       185 |        185 |                   scipy.spatial.transform._rotation_groups
import time:      4585 |       5378 |                 scipy.spatial.transform._rotation
import time:       212 |        212 |                   scipy.spatial.transform._rigid_transform_cy
import time:       231 |        231 |                   scipy.spatial.transform._rigid_transform_xp
import time:      3395 |       3837 |                 scipy.spatial.transform._rigid_transform
import time:       343 |        343 |                 scipy.spatial.transform._rotation_spline
import time:        70 |         70 |                 scipy.spatial.transform.rotation
import time:       197 |       9823 |               scipy.spatial.transform
import time:        56 |         56 |                 scipy.optimize._shgo_lib
import time:       260 |        260 |                 scipy.optimize._shgo_lib._vertex
import time:       324 |        639 |               scipy.optimize._shgo_lib._complex
import time:       639 |      15415 |             scipy.optimize._shgo
import time:       777 |        777 |             scipy.optimize._dual_annealing
import time:       207 |        207 |             scipy.optimize._qap
import time:       160 |        160 |               scipy.optimize._direct
import time:       266 |        425 |             scipy.optimize._direct_py
import time:       104 |        104 |             scipy.optimize._milp
import time:        55 |         55 |             scipy.optimize.cobyla
import time:        51 |         51 |             scipy.optimize.lbfgsb
import time:        41 |         41 |             scipy.optimize.linesearch
import time:        46 |         46 |             scipy.optimize.minpack
import time:        50 |         50 |             scipy.optimize.minpack2
import time:        41 |         41 |             scipy.optimize.moduleTNC
import time:        45 |         45 |             scipy.optimize.nonlin
import time:        52 |         52 |             scipy.optimize.optimize
import time:        44 |         44 |             scipy.optimize.slsqp
import time:        43 |         43 |             scipy.optimize.tnc
import time:        44 |         44 |             scipy.optimize.zeros
import time:       316 |        316 |               desc.input_reader
import time:       123 |        123 |               desc.io.ascii_io
import time:      1207 |       1207 |                   h5py._errors
import time:       564 |        564 |                       h5py.defs
import time:       291 |        291 |                       h5py._objects
import time:        90 |         90 |                       h5py.h5py_warnings
import time:       337 |       1280 |                     h5py.h5
import time:       237 |       1517 |                   h5py.version
import time:       170 |        170 |                           h5py.utils
import time:      1980 |       2150 |                         h5py.h5t
import time:       410 |        410 |                         h5py.h5s
import time:       185 |        185 |                         h5py.h5ac
import time:      1292 |       4035 |                       h5py.h5p
import time:       230 |       4265 |                     h5py.h5r
import time:       177 |        177 |                       h5py._npystrings
import time:       207 |        384 |                     h5py._proxy
import time:       336 |       4984 |                   h5py._conv
import time:       268 |        268 |                   h5py.h5z
import time:       332 |        332 |                   h5py.h5a
import time:       699 |        699 |                   h5py.h5d
import time:       283 |        283 |                   h5py.h5ds
import time:       330 |        330 |                     h5py.h5g
import time:       217 |        217 |                     h5py.h5i
import time:       328 |        328 |                     h5py.h5o
import time:       618 |       1491 |                   h5py.h5f
import time:       276 |        276 |                   h5py.h5fd
import time:       181 |        181 |                   h5py.h5pl
import time:        69 |         69 |                   h5py._hl
import time:        59 |         59 |                       h5py._hl.compat
import time:       346 |        405 |                     h5py._hl.base
import time:       261 |        665 |                   h5py._hl.filters
import time:       317 |        317 |                       h5py.h5l
import time:       336 |        336 |                         h5py._selector
import time:       175 |        175 |                         h5py._hl.selections
import time:       110 |        110 |                         h5py._hl.selections2
import time:        76 |         76 |                         h5py._hl.datatype
import time:       187 |        187 |                         h5py._hl.vds
import time:       569 |       1450 |                       h5py._hl.dataset
import time:       507 |       2273 |                     h5py._hl.group
import time:       286 |       2558 |                   h5py._hl.files
import time:       144 |        144 |                   h5py._hl.attrs
import time:       617 |      15283 |                 h5py
import time:        98 |         98 |                 desc.io.core_io
import time:       217 |      15598 |               desc.io.hdf5_io
import time:        95 |         95 |                 desc.io.pickle_io
import time:       201 |        296 |               desc.io.optimizable_io
import time:       190 |      16521 |             desc.io
import time:      1073 |     104340 |           desc.grid
import time:    657928 |     762441 |         desc.integrals.bounce_integral
import time:       505 |        505 |         desc.integrals.singularities
import time:       413 |        413 |         desc.integrals.surface_integral
import time:       255 |    1157820 |       desc.integrals
import time:        18 |    1157837 |     desc.integrals.surface_integral
import time:       269 |        269 |           mpmath.usertools
import time:        37 |         37 |                       gmpy2
import time:        34 |         34 |                       gmpy
import time:       161 |        231 |                     mpmath.libmp.backend
import time:       271 |        271 |                     mpmath.libmp.libintmath
import time:       359 |        861 |                   mpmath.libmp.libmpf
import time:       261 |        261 |                     mpmath.libmp.libelefun
import time:       270 |        531 |                   mpmath.libmp.libmpc
import time:       547 |        547 |                     mpmath.libmp.gammazeta
import time:       255 |        802 |                   mpmath.libmp.libhyper
import time:       213 |        213 |                   mpmath.libmp.libmpi
import time:       266 |       2670 |                 mpmath.libmp
import time:       169 |       2839 |               mpmath.libmp.backend
import time:       196 |        196 |                     cmath
import time:       454 |        650 |                   mpmath.functions.functions
import time:        92 |         92 |                   mpmath.functions.factorials
import time:       271 |        271 |                   mpmath.functions.hypergeometric
import time:       128 |        128 |                   mpmath.functions.expintegrals
import time:       215 |        215 |                   mpmath.functions.bessel
import time:       269 |        269 |                   mpmath.functions.orthogonal
import time:       173 |        173 |                   mpmath.functions.theta
import time:       204 |        204 |                   mpmath.functions.elliptic
import time:        62 |         62 |                   mpmath.functions.signals
import time:       434 |        434 |                   mpmath.functions.zeta
import time:       309 |        309 |                   mpmath.functions.rszeta
import time:       163 |        163 |                   mpmath.functions.zetazeros
import time:       216 |        216 |                   mpmath.functions.qfunctions
import time:       554 |       3734 |                 mpmath.functions
import time:        14 |       3748 |               mpmath.functions.functions
import time:        79 |         79 |                   mpmath.calculus.calculus
import time:        96 |         96 |                   mpmath.calculus.approximation
import time:       117 |        117 |                   mpmath.calculus.differentiation
import time:       298 |        298 |                   mpmath.calculus.extrapolation
import time:       110 |        110 |                   mpmath.calculus.polynomials
import time:       244 |        942 |                 mpmath.calculus
import time:       213 |       1155 |               mpmath.calculus.quadrature
import time:       177 |        177 |               mpmath.calculus.inverselaplace
import time:       225 |        225 |               mpmath.calculus.optimization
import time:        77 |         77 |               mpmath.calculus.odes
import time:       156 |        156 |                   mpmath.matrices.eigen
import time:       163 |        163 |                   mpmath.matrices.eigen_symmetric
import time:       118 |        436 |                 mpmath.matrices
import time:       202 |        637 |               mpmath.matrices.matrices
import time:        87 |         87 |               mpmath.matrices.calculus
import time:       167 |        167 |               mpmath.matrices.linalg
import time:       142 |        142 |               mpmath.identification
import time:        77 |         77 |                 colorsys
import time:       192 |        269 |               mpmath.visualization
import time:       429 |       9947 |             mpmath.ctx_base
import time:       180 |        180 |             mpmath.math2
import time:       354 |        354 |             mpmath.function_docs
import time:       270 |      10749 |           mpmath.ctx_fp
import time:       140 |        140 |             mpmath.rational
import time:      1602 |       1602 |             mpmath.ctx_mp_python
import time:       744 |       2485 |           mpmath.ctx_mp
import time:       353 |        353 |           mpmath.ctx_iv
import time:      1129 |      14983 |         mpmath
import time:       990 |      15973 |       desc.basis
import time:       162 |        162 |       desc.derivatives
import time:       782 |      16916 |     desc.profiles
import time:       230 |    1178794 |   desc.compute._bootstrap
import time:      5466 |       5466 |   desc.compute._core
import time:       539 |        539 |   desc.compute._curve
import time:       508 |        508 |   desc.compute._equil
import time:       235 |        235 |     desc.compute._neoclassical
import time:       404 |        638 |   desc.compute._fast_ion
import time:      2088 |       2088 |   desc.compute._field
import time:        80 |         80 |       quadax._version
import time:       110 |        110 |           quadax.quad_weights
import time:      2643 |       2643 |           quadax.utils
import time:      2517 |       5269 |         quadax.fixed_order
import time:       772 |       6040 |       quadax.adaptive
import time:       445 |        445 |       quadax.romberg
import time:       378 |        378 |       quadax.sampled
import time:       272 |       7213 |     quadax
import time:       478 |       7691 |   desc.compute._geometry
import time:      1367 |       1367 |   desc.compute._metric
import time:       403 |        403 |   desc.compute._old
import time:       517 |        517 |   desc.compute._omnigenity
import time:       917 |        917 |   desc.compute._profiles
import time:       312 |        312 |   desc.compute._stability
import time:       204 |        204 |   desc.compute._surface
import time:       175 |        175 |   desc.compute.utils
import time:   3539274 |    5384003 | desc.compute
