import time: self [us] | cumulative | imported package
import time:      9585 |      29679 |                   numpy.f2py.crackfortran
import time:       392 |      31446 |                 numpy.f2py.capi_maps
import time:       114 |        114 |                   numpy.f2py.func2subr
import time:       216 |        330 |                 numpy.f2py.f90mod_rules
import time:       119 |        119 |                   numpy.f2py.common_rules
import time:        83 |         83 |                   numpy.f2py.use_rules
import time:      4107 |       4309 |                 numpy.f2py.rules
import time:       398 |      37311 |               numpy.f2py.f2py2e
import time:       159 |      37613 |             numpy.f2py
import time:      1143 |       1143 |               numpy._core.strings
import time:       147 |       1290 |             numpy.strings
import time:       113 |        113 |             numpy.rec
import time:       434 |        434 |               numpy.ctypeslib._ctypeslib
import time:       118 |        551 |             numpy.ctypeslib
import time:      4441 |       4441 |               numpy.ma.core
import time:       800 |        800 |               numpy.ma.extras
import time:       535 |       5776 |             numpy.ma
import time:       355 |        355 |                 numpy.polynomial.polyutils
import time:       400 |        400 |                 numpy.polynomial._polybase
import time:       390 |       1144 |               numpy.polynomial.chebyshev
import time:       278 |        278 |               numpy.polynomial.hermite
import time:       219 |        219 |               numpy.polynomial.hermite_e
import time:       211 |        211 |               numpy.polynomial.laguerre
import time:       250 |        250 |               numpy.polynomial.legendre
import time:       260 |        260 |               numpy.polynomial.polynomial
import time:       269 |       2628 |             numpy.polynomial
import time:       146 |        146 |               numpy.fft._helper
import time:       202 |        202 |                 numpy.fft._pocketfft_umath
import time:       340 |        541 |               numpy.fft._pocketfft
import time:       145 |        831 |             numpy.fft
import time:       334 |        334 |               numpy._core.defchararray
import time:       104 |        437 |             numpy.char
import time:       818 |        818 |               scipy._lib.array_api_compat.common._aliases
import time:       126 |        126 |               scipy._lib.array_api_compat.numpy._typing
import time:      1040 |       1983 |             scipy._lib.array_api_compat.numpy._aliases
import time:       136 |        136 |             scipy._lib.array_api_compat.numpy._info
import time:       707 |        707 |               scipy._lib.array_api_compat.common._linalg
import time:       491 |       1197 |             scipy._lib.array_api_compat.numpy.linalg
import time:       127 |        127 |               scipy._lib.array_api_compat.common._fft
import time:       404 |        531 |             scipy._lib.array_api_compat.numpy.fft
import time:       991 |      84812 |           scipy._lib.array_api_compat.numpy
import time:        78 |         78 |                 scipy._lib.array_api_extra._lib
import time:        69 |         69 |                     scipy._lib.array_api_extra._lib._utils
import time:        81 |         81 |                           scipy._lib._sparse
import time:       209 |        290 |                         scipy._lib._array_api_override
import time:        83 |        372 |                       scipy._lib._array_api_compat_vendor
import time:        98 |        470 |                     scipy._lib.array_api_extra._lib._utils._compat
import time:        64 |         64 |                       scipy._lib.array_api_extra._lib._utils._typing
import time:       305 |        368 |                     scipy._lib.array_api_extra._lib._utils._helpers
import time:       372 |       1277 |                   scipy._lib.array_api_extra._lib._at
import time:       460 |       1737 |                 scipy._lib.array_api_extra._lib._funcs
import time:       228 |       2042 |               scipy._lib.array_api_extra._delegation
import time:       251 |        251 |               scipy._lib.array_api_extra._lib._lazy
import time:       126 |       2419 |             scipy._lib.array_api_extra
import time:       274 |       2692 |           scipy._lib.array_api_extra.testing
import time:       277 |        277 |               pkgutil
import time:        90 |         90 |                 urllib
import time:      1906 |       1906 |                 ipaddress
import time:      1160 |       3155 |               urllib.parse
